sku,name,description,price,terms,section,image_downloads
272145190-250-2,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,19.99,jackets,MAN,"['e8e4ae57-8b72-44ff-aa5d-84de3ed37d9e', '0cb3791f-ebc3-4311-ae9b-39688130a258', '6831411d-91a5-458d-b6eb-8657ac66ce12', '184c9f8e-4765-4270-a048-27cdf64b32ce', '037c90a2-abef-400b-be2b-a50fa1d40f20', 'f248a6fd-a8ad-4d45-8ff2-cc8af4302c8a', '1ca4fce1-d4c2-4dce-9dd0-33125377a943', 'cd47d226-c738-485e-9fb2-730108c8c5e8']"
324052738-800-46,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,169.0,jackets,MAN,"['b42b0725-cfe2-4748-af3e-3abe590d83cd', 'ed9c6818-89d4-41ce-818d-ffd8d31790f7', '7543f196-b03a-463f-af90-e85a25186b94', '7f27af73-8085-486c-9dd0-69a7471f3370', '3ae39a7d-cc00-4a0e-900a-81bd3b4dda51', '920069d2-79a3-44f0-af3b-45ea651b781c', '349bfdb3-6fd2-43fc-8bfd-62f7727e046f', 'c71e12f6-16a1-4eea-9b2e-9ad76f892137', '2b2d9255-1896-4947-b56e-abf103b8ccc5', '65e9ebc3-0d74-4f85-ac50-17e5371b9b84']"
335342680-800-44,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,jackets,MAN,"['c27bdddf-2f9c-4693-976f-0d1272212c12', '07e60806-16ed-465a-b19b-2d4bd072e6a6', '4f1cc647-7fc1-4609-a9c6-20dfc78519a0', 'ad3c4d82-3248-4e55-acc4-e892d22b790c', '2b19a55a-d734-4e96-a000-a4932760e522', '6a3e4e3d-4a80-4b5f-bded-a79f6ec8c0a6', 'fb1ed456-2bb1-4568-b01c-a13f06d1b2a9', 'be2f2dbb-ab90-45bb-8f7f-f1045d4ad935', 'c6bd7230-2d78-4a69-88e4-5bf6fa2e917d']"
328303236-420-44,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,jackets,MAN,"['0cbc84c8-f9ff-4f02-940c-ff642b5af379', 'dd47d7b2-9abd-4093-a7f0-a6fea82d7388', '1f854366-249e-4ed4-8698-f801fa0a47f3', 'bfbdcc43-0d1a-4cda-ad73-6cedaa52ab06', '66767631-b7d0-48ce-b9df-5110f2309c80', '8ca15430-65a6-41bc-8af7-8efeacff47b0', '5a982740-ed82-4fd3-84ce-520be79d58e7', '5dc3c479-64fc-4ac9-93bb-f9d049446b16', '4c2799af-93aa-42a3-a688-94380c134feb']"
312368260-800-2,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,139.0,jackets,MAN,"['1ccc9c87-49c9-4825-9d67-4c1f61e5db1f', '1349486b-bd29-455e-9a09-6ab287428d14', '65781e3f-7463-43a8-9af1-5b7e35a30000', '981cf3db-da85-4533-9a54-4229777be734', '73e75dd6-6ee5-4c17-a835-53f6adac7b78', 'cc982f92-d765-4f35-9ae6-3cea7a9a8756', '47a85a6d-0340-439e-ae60-19656470d71c', 'bfcc400d-b642-4508-bd1a-121e4dffee6f', '17d625e2-82f1-40c1-b3d8-cd873ffead0a']"
320298385-807-2,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,79.9,jackets,MAN,"['d747f1a2-86d6-4998-9a3f-9ec95f7da1aa', 'e2ea6d47-099f-4003-87b8-bd21101d7f89', 'f9d9ae2a-d0ee-405a-9019-012aebeaabc6', '893a96a1-35e6-424b-9a1e-d5577d0adf55', 'd2397f93-6e68-43a3-b9a1-18b1fcc9750a', '3d9d1b68-0e07-4da3-af1c-d85345599ece', '70f97d62-709d-4699-9d42-4a3e2fd41718', '332622a1-379a-46e0-8d37-8b20980b5fb3', 'a8ca3ed4-b7fb-4b70-8757-10456bf32236']"
278112470-800-2,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,69.99,jackets,MAN,"['a54505fa-d2ba-4268-904e-09dff1abe5d9', 'd8fd6412-0d3b-4847-b924-a12ec941e061', '95c5aab0-8cab-42d8-abf4-4d41ec5ee443', '4d70869d-a999-45bb-8eb8-5e024edf9a2b', 'ec3f08da-4dea-49ef-b71f-14f2c0669f43', '2ac9b234-54f3-4c7c-9a56-16d43180df96', '05eea949-e395-4021-824b-bad80aedcba8', '09784f40-f643-407f-8556-d4db3646ab14']"
322972485-431-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,159.0,jackets,MAN,"['b5dda852-d59e-4928-ae54-97c2bdb7068b', '77e695ec-f7f1-4ab6-92e1-894efffdaf4b', '29e6114d-cf2d-4bbe-91b6-69f098b9203d', 'ea6d9cc3-e4e7-4977-b9c5-ca2147a9753c', '238d820b-358c-4f4e-9d73-24db79df5c6d', '7dff8709-6a96-43d1-aa8b-13440a713873', 'a6ba695a-7382-4a2b-b5a4-c16e44989c4a', '71853fba-8357-4b5e-886e-d0dcfecc077b']"
313854165-401-46,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169.0,jackets,MAN,"['3b5e1419-e14d-4f96-8f4c-361c584fb4a1', '85e9699e-a9e3-4ec9-acf1-a5b5558ecc11', '2a0f6dbd-877c-44ff-ba64-22b48fcf6e9a', '39cd6724-7893-4313-addb-fefa3abb8929', 'bc0d817d-1393-4894-b026-8341fc0c5daf', 'e5896fd6-17e9-4971-9a85-2df2b9402d71', '1db0e1a1-f5ab-4dd5-a00b-84d5be46eb55', 'a1e76ed1-71a6-4d8a-85a2-e907090cf54e', 'dea83d8a-e1a1-4f44-a50f-5c4fdf8c065d']"
312372602-800-2,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169.0,jackets,MAN,"['7c7a97ab-39e2-416d-8617-e13a34c05b99', '574b69a7-ee8a-4a47-820c-cb539131ef6d', '0ab78894-cfc7-4cfa-8b78-40cb8f0979af', '38d1c399-d6a5-4243-bb5a-e8c154fae725', '14085b49-3995-453a-9806-015847614e2b', '2af08b6d-a60a-4350-aa4e-2f901eb9f709', '10099068-1186-4bc9-9641-b68d2a2914a6', 'fde523dc-a9d3-4016-a10c-9155ce947e96', '72c957bf-1d03-478e-8303-80b843d47a21']"
316207900-710-2,HERRINGBONE TEXTURED JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.,129.0,jackets,MAN,"['ac3ded3f-9485-4e56-b821-68160763da0e', 'ddd535af-6606-4796-b2f5-23ef794a914b', 'b2ec58d4-aedc-4ca4-a34e-e3fdf8f24bbe', '70692c4a-2e4c-4bc8-ab24-40b229c7862e', '92023d40-00c2-4412-b4e7-764ebf98a023', '7adf286d-d42d-4b2b-a850-8ce040883b2f', '09480045-d59c-4cfb-85a8-b2068e1d6390', 'e2c0b90d-d520-483a-8a1c-66b6a0a6026c', 'dced2604-22a8-4b3d-be0c-aef10006d892']"
329186122-800-2,OVERSIZED CROPPED JACKET LIMITED EDITION,Oversized cropped jacket. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at waist ad interior pocket. Front button closure.,159.0,jackets,MAN,"['b29db069-b2d9-4f96-85fc-716b89a28a80', '0538aee7-74b3-43c9-8ca4-9a35b97adca7', '886c1e6d-5ecb-4577-b32f-db816a45b880', 'b420f11b-f4f8-41d4-af9d-e6cc8f5c4036', 'f98a1d92-2dc8-4e5d-9109-5bc6efa3d448', '2a7a8323-94e0-4b6f-a8b1-183742c2cfef', '6683552b-d19c-4ffa-b4ba-145c8d480b56', '343e3385-0365-414f-b94f-f750ac869a76', 'baa3e73c-d956-4948-96c7-3160ad85a144']"
311297791-800-2,LEATHER BIKER JACKET,Jacket with lapel collar and snap button details. Long sleeves with zip cuffs. Front zip pockets and interior pocket. Asymmetric front closure with metal zipper.,169.0,jackets,MAN,"['97f01dba-25f3-4e2a-b6f5-00b6edcbaf18', 'ac7199a2-7a7d-40f2-9140-43190783b828', 'd612abfa-4b0a-487f-a11b-3aae735c038a', '435d6a37-85e8-4a91-a00d-79501b46eda7', 'b164a19b-fca3-43c2-9bec-aca30376c996', '0db6ae73-5429-4ad7-82ca-45f1b68c79c6', 'b19e6142-65c3-4ac0-a7f0-6c05303e4a86', 'a720c93b-8f45-408d-b16f-0d06ddf07139', 'd1cb4832-5b7c-430c-bcdc-e17153261073']"
323134418-800-3,CROPPED LEATHER JACKET,Leather jacket. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.,439.0,jackets,MAN,"['8a71326a-0cb6-4c0a-b4e6-40a4b43f6eab', '85402f17-6b63-4f71-b973-4dd6d1146a88', '67bc258b-f6c7-4ae0-b382-a7fd2e898014', '4c80255a-3f62-4de3-82b2-8839e65729e1', 'd91386ae-5b14-464e-b515-a388cb2a7a7f', '46406250-99d5-41c0-b822-c624cba52d42', 'db9e1f1d-2771-49e9-8626-83afbec20d8a', '80a51582-2d39-48de-a094-adc0a8e53b7c', 'c90d9dc3-4df7-42cd-965e-272e1da48b91']"
311297555-706-2,FAUX LEATHER BOXY FIT JACKET,Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip. Front button closure.,99.9,jackets,MAN,"['6bb99274-10ee-465f-a050-ca1c6c183b4f', '09fb6e93-5e76-4195-94c8-6307f4c6ea8c', '93640372-1c3a-4c30-a768-0fd2703636b7', 'a4db02d0-ead7-47ef-93fd-42b173d9bc32', 'e19711c9-7a88-430d-b2f9-99c4fcce50dd', '77ae172d-6270-4758-8ada-836c14c7e93e', '1851cf7a-6a8a-4628-a70d-2d00cf691ef7', '426e507d-adbf-4620-8687-353188d2cdfa', '38740b1b-59c4-4c4e-af94-ab0d9ad7dc1b']"
317012940-800-2,FAUX LEATHER JACKET,Jacket made of faux leather fabric. Lapel collar with snap button details. Long sleeves with zip cuffs. Front zip pockets at chest and hip. Interior pocket. Asymmetric front closure with metal zipper.,99.9,jackets,MAN,"['7b028268-ff23-453f-9c43-4a38dc06d142', 'e5ee2fe7-b181-454f-841a-5331e7e2eabe', 'f3406b4f-ea7d-431e-af88-0ba62f1493f7', '78f0173c-ad95-4aec-9a70-c41c54d23a0d', 'a608252b-6dda-45ea-bea3-beadb1c70544', '8d9baf78-246f-4b2b-9f3a-b9af1d58b33a', '1717b7dc-10d8-48a3-94f7-5241133a42fb', 'fa8cb731-bf79-4b7c-967c-dcee8cb3fd23', '90913393-a229-45f5-97b4-757c4c0f47aa']"
311292672-800-2,FAUX SUEDE BOMBER JACKET,Jacket made of faux suede fabric. Ribbed elastic high collar and long sleeve. Welt pockets at hip. Rib trim. Front zip closure.,69.9,jackets,MAN,"['dfaa207b-bf93-458e-8add-acf5733e9490', '431756b7-b05a-4133-b615-39cb68576658', '5afea31d-36b9-4880-befb-236a2f468b55', '63eaff17-efbe-4118-a240-f9f5e63df8df', 'ca42cad1-6a73-47ff-921b-7ec9fcedcbb5', 'b2f9bf90-d4b9-47e0-8b56-5078fea73553', 'c28c4861-160f-44b0-bafc-2eca4657ff0b', 'e6304909-7c4d-4702-8da1-56c1d171d2d8', '7b0df705-9ea3-43e0-ab5f-74687a9c0b5e']"
321496837-400-3,DENIM BOMBER JACKET,Jacket made of denim fabric with padded interior. Rib elastic collar and long sleeves. Welt pockets at hip and interior pocket. Elastic hem. All-over contrasting topstitching details. Front zip closure.,129.0,jackets,MAN,"['439b6449-192a-45dd-bc8f-7b9e76c82096', 'bb6ef4f7-1ce0-4788-8c55-b565769070bb', '35cde8f1-6919-4209-acda-4cc4b004855d', 'aa3fd530-8252-43ba-bacb-ce40f4bdc4b0', 'a5a1fb4b-0973-431e-919e-67f75748b816', 'a1a9cb65-66be-4cf3-8946-808023ad8ac5', 'eee640e5-a86d-4cab-8b48-795d56e5ad69', 'b2f48134-d328-4ea5-bc44-90522ee72894', '3d7b42cf-f584-4b48-986f-7c34f6988ce5']"
316205038-615-2,BOUCLÉ TEXTURED JACKET,Cropped jacket made with wool blend fabric. High collar and long sleeves with elastic cuffs. Front patch pockets with flaps. Elastic hem. Front snap button closure.,129.0,jackets,MAN,"['d2568008-974f-4371-822f-a045dd1c07c5', '52019671-91d6-4753-8e8f-1715b5b1a2d8', 'd4bd2bf1-6531-4c78-9139-12257e355c33', '6a7e900b-7d04-4e42-b2e6-cd6d24524113', '748071a8-5bda-403a-9e26-8840c9b7e8e9', 'aa177eef-6e1d-4f36-9085-76177c0ba55f', '5a7057ba-991a-4543-9d4b-99465a2eb307', 'a7a599bd-9efa-4760-8c86-af64580ed82f', 'fc746600-3309-4228-aa46-f934f2633dd4', '70c3518f-ec10-4ba4-a007-b5145016aa74']"
322972473-052-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at hip. Interior pocket. Back vents. Front button closure.,159.0,jackets,MAN,"['b2a4392b-c947-4d6b-8272-b1076bb02204', '25a1ad11-2a11-44c9-b983-e67919ed317b', 'acc749a8-2822-4ba7-8ee4-8e1c21258adb', '8d0b2d1a-93cf-4175-a385-e222c9411710', '9ea05d5a-0073-4437-a0f0-ed9411a7696e', 'ba9b9639-f384-478a-ba6c-e98835df9b0a', 'fecbc69b-3818-4c5b-a07c-6991727d86f4', '2b9b94f7-3197-47b5-b3ef-eea59919ceba', '213cd348-c7fb-4e32-b4e6-ca6c377a80e3']"
313845662-400-3,JACQUARD DENIM JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Patch pockets with flaps at chest and side pockets at hip. Front hidden button closure.,109.0,jackets,MAN,"['d7e713b4-5242-4af0-bc2a-439348b9fd0f', '2535cd14-5daa-4392-aeab-bac5a7ecf70d', '5da41829-f3fe-43df-ba8c-ef886035f5f0', 'bfc7ff0e-44d6-4d7c-b6b7-86089de1c2d0', 'cc7195f1-4a6a-4c83-89ba-38e7174faa23', '2fcfe18d-da2e-4c44-9bdd-5aa93e97380f', '7e7ece69-03e0-448c-8559-a69233876444', 'c06b15e1-8862-4172-902e-3c1182ca5872']"
320264577-800-2,PADDED DENIM JACKET,Cropped jacket with lightly quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Washed effect. Rib hems. Front zip closure.,89.9,jackets,MAN,"['b367a4ef-7daf-4536-84a2-dce2b0f187c5', '5ffcdc32-a6c1-476f-a45d-152185164310', 'ac028815-64d7-4b1b-9931-7ee3c4292afa', 'b3155701-196a-4ee5-904e-9ddab11b20d3', 'ba430a63-dcda-401e-9c39-d07ca0447a6d', '7bb787d4-beaf-4af4-88d1-ef591a25571f', 'e06ff47f-671d-4ecb-9234-9d5744d0257d', 'c5ebf3de-f4a3-4b1f-88cd-7ac640ef3e8f', 'ae91cd5a-f92f-446b-964e-c42f9a91c9ce']"
315529534-705-3,LEATHER JACKET,Relaxed fit jacket in leather. Spread collar and long sleeves with slit cuffs with button closure. Patch pockets at hip. Back vents. Front button closure.,299.0,jackets,MAN,"['02f7e6e6-1b17-47e3-ac7e-e26315395d0d', 'dbb330f6-1aef-4b23-a35f-7c254f3071d5', '906235ce-7fa4-45d5-8279-be2c44890a4a', 'd6d887df-ea71-44cb-87b3-3acaac4996d9', '2ba93e89-0b77-457d-81f2-bfc1a04ceeea', '243ad2c5-28e5-4ce0-bb56-836fa2b1e575', 'd7b3a625-7e2d-4b59-8665-368f1c1735f1', '2933a15f-8b13-445e-b3cb-abc14b03eb81', '97afb695-4c75-4c5a-9ccb-a4ba0459bca0', 'e3599841-e66d-4183-8504-a74bc6ddb636', '6e766906-70b8-4101-b5f4-e8b1d8f4d3ec']"
320423517-800-2,LIGHTWEIGHT BOMBER JACKET,Lightweight jacket made of technical fabric. Round neck and long sleeves. Welt pockets at hip. Interior pocket. Rib trim. Front zip closure.,49.9,jackets,MAN,"['22768c26-4cb7-4c8f-af9d-de23e59dbba2', '5c037c90-d5d6-4ee4-9000-25fa6871c6b8', 'ffbe8728-8002-4749-a088-16127df76246', 'd72fcccc-5348-4e58-b482-a60ef383c9f7', 'e77c771d-6014-472d-8974-ab9bac54a638', 'd1ba9e8e-2916-4972-9a42-ca8752a0ae67', 'ce6bd7c2-4308-43bd-b04c-a88e4625d1d1', '2c45977c-33f9-44ce-8813-4f61b14a7d17']"
328250627-251-46,SUIT JACKET,Straight fit jacket made of dense stretch fabric. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169.0,jackets,MAN,"['1f94f674-3a0a-466e-82c4-7076b24d19b1', 'a480914a-b7c9-42c1-ab1c-3adc0b901356', '487c3587-3267-4f55-9d84-a8865c58289d', 'b08e83b9-3c4e-4e6c-8a73-36110b37cef1', '92507fa1-1065-405f-b5a0-8f362d0579eb', '99eff866-ace7-4a4b-b77c-e82c29c86f92', 'cfe6d6f9-dae9-43da-9a63-afbd22bbdda0', 'd68bee89-6037-4b03-8051-707f6c0eccf6', '3b7e5801-5b6f-48c0-9667-043196f1ac69', '098301f8-513a-47d6-bce0-f178e9e75832', 'e1cd3fa6-109a-41fe-895f-e414c6ee114e']"
311309526-800-2,FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,69.9,jackets,MAN,"['22691195-fd1e-46d9-8551-0b7eff4fc7be', '3ac4df66-a8f3-4708-ae8b-87cbe0221d62', '95ef75a3-58ac-4c78-8529-8c9dc392102c', 'aab54c41-0022-4ed0-b452-1c70b74ab7cb', '2c87a7fd-66c3-48e2-a5bb-ac3aa12745d9', '5a6798d9-dd66-48d4-863d-f8849b60c7ed', 'b6a37d87-40ca-4ea8-bf73-bc5fb5496e10', '69bc11dc-64b9-4bf7-90c2-6e6bf4a04b04', 'a8072684-1feb-4612-8027-a4eff8e609d4']"
311287528-811-2,PATCH BOMBER JACKET,Varsity jacket made of faux suede fabric. Double welt pockets at hip and interior pocket. Front and back contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,89.9,jackets,MAN,"['49ecfd66-25af-4e08-96cf-aa24a7abeb29', 'ba830bce-0cbd-4e06-b59a-491efcedeeec', '4da2e8c3-4716-4bf5-82bb-b73082db1331', '675669c2-3539-4963-bcf8-4e2e38c51d8c', '854f4866-c875-434e-b0ab-fd8c1d773a2d', '0030ae37-34b1-4d4d-bce2-c106cee6135d', 'fef96e4d-fdce-4e1d-a4e2-b65ed87be982', '69efc4ad-a036-4055-a99d-ee7a5e7a09f0', '57724610-2956-47b5-a6ab-508579cf9339']"
342657802-914-2,STRETCH POCKET OVERSHIRT,Overshirt made of stretchy fabric. Lapel collar and long sleeves with snap buttoned cuffs. Chest patch pockets. Front snap button closure.,59.9,jackets,MAN,"['3bd83b6f-a248-4f6c-b0e3-cc606884ca9a', '39b50f44-a5e9-4c3f-bdc1-3a22226c81ff', '2bf281e1-f754-4307-bac7-6ad80f6f3e68', 'a48fceff-3352-41e6-9a94-e090512b886f', 'f50211cf-6dba-41a9-a30d-a3a62c3be039', '1243cbf1-03f4-461a-9650-00cc784211c9', '72ef0337-98d4-4acc-849e-1b4c9233b4b8', 'f7850c13-2fd5-4e95-a2cf-fb7de7c34fc5', 'fa2b7fd4-a7b5-46b4-9747-5df00fe5d565']"
316207898-712-2,RIB COLLAR JACKET,Jacket made of technical fabric with padded interior. Tonal elastic rib high collar. Long sleeves. Welt pockets at hip and interior pocket. Interior elastic finish. Front zip closure.,109.0,jackets,MAN,"['99909d4d-7c11-4502-bcb0-4614d1fd6c35', '9a14153d-a782-4c7b-b98b-5cccf1782ff8', 'e5a0869e-34d5-413f-9e97-0abc3793a45f', '7aa88a02-b490-4ef6-9254-844a6b86ece0', '9623fd60-f545-451d-b99d-11bf4268cb4d', 'ec2e32c3-488c-41e7-81e7-92f9df1a167c', 'fca44b6c-86f2-43f2-9695-d7792b9ff3f3', 'b1403e1e-af1e-48b4-88d7-938508056ac9', 'af601216-c3da-4fa7-a1b3-50635eb5092c', '25f00b47-8654-46e2-aea5-db0783a65065']"
321496761-800-2,FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,Oversized jacket. Notched lapel collar and long sleeves. Flap pockets at hip and interior pocket. Front button closure.,159.0,jackets,MAN,"['0b513528-62b5-4bdd-aade-1e8acebfef42', 'e440f063-7e4b-43f8-93dd-3042afcf0201', '2a0ababf-00e8-47dd-91e9-aba15679d09e', '67edf72f-3c5c-426f-b709-ba45adfd16c8', '19e12d96-4d6d-493f-9256-b6fd8bf970d5', '295db535-40b5-41de-a73b-32465bd22fb5', '845d65e6-f222-4af8-86f3-271392e5c6f0', '1a562041-5487-47af-99d9-cd482b61e8d2', '6e1c7ac9-4b2b-4e96-b2a6-72740f4f56a4']"
311307255-800-2,CONTRASTING PATCHES BOMBER JACKET,Varsity jacket with elastic collar and long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,129.0,jackets,MAN,"['17f66539-6e23-4e2a-b0e2-28f40c23f721', '0f1547ff-8476-4b1a-8ced-5f80335f07e4', 'e23cb25e-c871-43eb-83a7-bf9454042619', '4825573a-7261-4a5d-8904-504fe9ae97e9', '755e5c4a-2bba-4788-838f-dcc3cd3a998e', '4fef4f11-9225-4348-a072-cc2614995fd5', '1a020168-0f88-445f-9c04-68be318f896f', '4d6cc73e-e06f-444f-865d-357aad5522cc', '472a687f-2b6f-4885-9e0f-3ec8b03719a3']"
317129011-500-2,PATCH BOMBER JACKET,Varsity jacket with padded interior. Rib elastic collar and long sleeves in contrast faux leather. Double welt pockets at hip and interior pocket. Contrasting patch appliqués at front and back. Rib trim. Front snap button closure.,129.0,jackets,MAN,"['59f89b7b-f13a-443f-9741-c2d14b93ca06', '6384cca4-f42f-406d-93d5-e1a31d2266fd', '1892447a-f9e1-4007-8d90-13f782ae02c3', '1d07bb39-6c01-4e09-906f-186c034d148d', 'b0a7477b-7a9c-4065-8359-26b2e20f6846', 'e0ea01b0-46a3-4c7f-8495-1cc01a7b8253', 'bcb6bcdb-5a79-461f-886d-2bb170630b3c', 'bb4dbf3f-eda6-4637-bd10-ce27f1423a5e', '92f1382a-ad07-4cbc-98b0-fe8267a80ffd', 'c12118e0-45e4-4baa-9f8b-1f42ed760f37']"
330274270-800-2,CROPPED BOMBER JACKET LIMITED EDITION,Jacket with lightly padded interior. Rib collar and long sleeves. Flap pockets at waist. Rib trim. Front asymmetric zip closure.,129.0,jackets,MAN,"['4ace60db-59f8-43bc-840b-44101b991bb3', '232d8edf-fef1-41a0-b7c3-1acc10ddc3ba', '2988298d-79aa-4636-a44a-a1b53dd73bc0', '77d154f7-b2d8-4831-a828-56b20dde0d50', '69be2f86-e947-49b6-8d1e-542985f212ff', '331f3b6a-83e5-4b15-b609-80b9e5759a6d', 'ea2e7cc3-f849-47cc-aedb-52accee25d14', 'f29be98a-f00a-40a5-9ec4-45972d505b50', '6c1a9cbf-8f93-445f-8a52-36d41e8f7336']"
311297855-800-2,FAUX LEATHER PUFFER JACKET,Faux leather jacket with padded interior. Lapel collar and long sleeves with snap buttoned cuffs. Welt pockets at hip and interior pocket. Elastic hem. Front zip hidden by a snap button flap.,109.0,jackets,MAN,"['a81258f9-d63e-41b8-9b10-922ad860e916', '20cdaac7-0095-4f37-97c4-3760d48584db', '88f9039b-eeb6-4b06-8d16-e944550a139d', '9e4f0eaf-b45c-4e11-87f6-37be40a8aa03', '6116bcaa-e6c2-4e33-9bc7-3566f7375179', 'd392898c-ab76-40d1-afb0-5c72df36fac1', '9db9edd1-b724-4c9f-a960-c834c1af2a97', '6c8555aa-52b5-46b2-a868-5ba86de2d3c9', 'd9fa8959-f539-4d6f-ab19-609dfeb59fd9']"
317782474-800-2,FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. Rib elastic collar and long sleeves. Zip pockets with flaps at hip. Interior pocket. Elastic hem. Front zip closure.,109.0,jackets,MAN,"['2d6777f6-2415-4b50-90e7-0ab535b2b195', '4acdbf67-405e-4c2a-9f05-83e2d002ea29', '5df0289d-411c-4212-912d-a985c0c486bd', '69159ca0-e493-4d83-983c-6b8207ea58ac', 'c620a0b6-a874-4476-8a1c-1b534d8c28ac', '04997bc9-1f02-4507-a74d-5270d59e015b', '5dd7705d-a72c-4c20-8497-6197dc24aaaf', 'c80f85f2-1965-4007-87de-00bc45b00c54', 'd951c4d2-d6a0-460a-82c4-7b7c855b7a3d', '7a687ebb-ddc7-4efb-b747-21b5f0bc624d', 'ce3ac663-de2f-4a90-80fc-7c4dba5a9d24']"
315758723-401-2,BOMBER JACKET,Varsity jacket. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front snap button closure.,109.0,jackets,MAN,"['9c2a8861-88cf-4db2-8828-db8858356aa2', '31cb1cae-d7e8-40aa-96da-595faff839e0', 'c0a1ecb0-4e03-49a6-86d7-8d34060f4a97', '4b2391ef-852c-4f7d-a67a-05b9ff64019d', '1bc210ef-75e3-402c-9299-961b0796f31d', 'c80a1041-de0a-4124-8b86-90a1cc38107b', '255ef20b-190e-457d-aae5-968549995960', 'b19c118c-acde-4d3a-a3ef-8dfe2430a77b', '7d33bda7-448b-4f5b-b316-0387e89f304f']"
311302863-800-2,FAUX SUEDE JACKET,Lapel collar jacket with long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,89.9,jackets,MAN,"['b42c5201-b550-42e6-a804-1e2f229142fb', '7a6cfb8e-2aae-4703-96c7-e2024e32f3ad', '439d38da-a530-4e11-9b31-1dbfcb9a6b91', 'e7d02baf-f5b5-47fe-9cc7-cb88ee209dcc', '77c2f624-3b0a-4004-b59e-ceb113d5428f', '20c1b614-0aa1-4a92-b2b3-5cc0a37d9631', 'd8943ed7-fede-41b1-ab91-4c9148c6ec6d', 'f4071ada-da22-4936-af7c-ccfa1f84f6da']"
311282759-806-2,FAUX SUEDE BOMBER JACKET,Jacket made of faux suede fabric. Rib elastic collar and long sleeves. Welt pockets at hip. Rib trim. Front zip closure.,69.9,jackets,MAN,"['b480b654-2adb-4ed9-b457-03f4ef8dd6d7', 'ddd2cd22-cdf7-4785-b25a-b99be5c4ca51', 'c3375621-4b98-4d54-bcb6-2acc63af0ff9', 'cd190264-0fd6-46dc-8809-a780a74a1255', '78644e96-142c-4806-8e7b-3c851f34fe3b', 'ce1d22fb-601e-4ef4-8727-b639c6ff9e35', '813adc33-b2fa-4293-8b52-ef297c3e6bf9', '21a8cc8d-58dd-47e9-937f-a841250f09af', '28998571-764e-4941-959a-2949668feb4d', 'f7bba43a-bc68-4072-aa46-30aaf8b95214']"
